year,session,title,abstract,authors,doi
2009,Design methods,PrintMarmoset: redesigning the print button for sustainability,"In this paper, we discuss some unique challenges of sustainable interaction design (SID) and present our work that aims to reduce paper waste from web printing. We conducted a two-month field study of current behaviors and attitudes around printing, and the results confirmed the affordances of paper, but also revealed many problems associated with printing web content. We then designed and implemented a browser extension, PrintMarmoset, that targets these problems while simultaneously addressing user needs and environmental responsibility. It allows users to effortless select or remove web content for printing. We have also incorporated a data sharing mechanism into our solution to assist in the adoption of the tool and created visualizations to encourage user reflection and exploration.","Jun Xiao,Jian Fan",https://doi.org/10.1145/1518701.1518720
2009,Learning challenges,Session details: Learning challenges,"One hallmark difficulty of children with Autism Spectrum Disorder (ASD) centers on communication and speech. Research into computer visualizations of voice has been shown to influence conversational patterns and allow users to reflect upon their speech. In this paper, we present the Spoken Impact Project (SIP), an effort to examine the effect of audio and visual feedback on vocalizations in low-functioning children with ASD by providing them with additional means of understanding and exploring their voice. This research spans over 12 months, including the creation of multiple software packages and detailed analysis of more than 20 hours of experimental video. SIP demonstrates the potential of computer generated audio and visual feedback to encourage vocalizations of children with ASD.","Julie Kientz,Joshua Hailpern,Karrie Karahalios,James Halle",https://doi.org/10.1145/1518701.1518774
2009,Looking at videos,What's next?: emergent storytelling from video collection,"In the world of visual storytelling, narrative development relies on a particular temporal ordering of shots and sequences and scenes. Rarely is this ordering cast in stone. Rather, the particular ordering of a story reflects a myriad of interdependent decisions about the interplay of structure, narrative arc and character development. For storytellers, particularly those developing their narratives from large documentary archives, it would be helpful to have a visualization system partnered with them to present suggestions for the most compelling story path. We present Storied Navigation, a video editing system that helps authors compose a sequence of scenes that tell a story, by selecting from a corpus of annotated clips. The clips are annotated in unrestricted natural language. Authors can also type a story in unrestricted English, and the system finds possibilities for clips that best match high-level elements of the story. Beyond simple keyword matching, these elements can include the characters, emotions, themes, and story structure. Authors can also interactively replace existing scenes or predict the next scene to continue a story, based on these characteristics. Storied Navigation gives the author the feel of brainstorming about the story rather than simply editing the media.","Edward Yu-Te Shen,Henry Lieberman,Glorianna Davenport",https://doi.org/10.1145/1518701.1518825
2009,Techniques for mobile interaction,Unravelling seams: improving mobile gesture recognition with visual feedback techniques,"Gesture recognition is emerging as an engaging interaction technique in mobile scenarios, and high recognition rates promote user acceptance. Several factors influence recognition rates including the nature of the gesture set and the suitability of the gesture recognition algorithm. This work explores how seamfulness in gesture stroke visualization affects recognition rates. We present the results of a user evaluation of a gesture recognition system that shows that raw (seamful) visualization of low-delity gesture stroke data has recognition rates comparable to no feedback. Providing filtered (seamless) stroke visualization to the user, while retaining the un-filtered input data for recognition, resulted in a 34.9% improvement in gesture recognition rate over raw stroke data. The results provide insights into the broader design space of seamful design, and identifies areas where seamlessness is advantageous.","Sven Kratz,Rafael Ballagas",https://doi.org/10.1145/1518701.1518844
2009,Visualization 1,Session details: Visualization 1,"People's ability to accurately locate target objects in images is severely affected by the prevalence of the sought objects. This negative effect greatly impacts critical real world tasks, such as baggage screening and cell slide pathology, in which target objects are rare. We present three novel image presentation techniques that are designed to improve visual search. Our techniques rely on the images being broken into image segments, which are then recombined or displayed in novel ways. The techniques and their underlying design reasoning are described in detail, and three experiments are presented that provide initial evidence that these techniques lead to better search performance in a simulated cell slide pathology task.","Maneesh Agrawala,Clifton Forlines,Ravin Balakrishnan",https://doi.org/10.1145/1518701.1518868
2009,Visualization 1,SiteLens: situated visualization techniques for urban site visits,"Urban designers and urban planners often conduct site visits prior to a design activity to search for patterns or better understand existing conditions. We introduce SiteLens, an experimental system and set of techniques for supporting site visits by visualizing relevant virtual data directly in the context of the physical site, which we call situated visualization. We address alternative visualization representations and techniques for data collection, curation, discovery, comparison, manipulation, and provenance. A real use scenario is presented and two iterations of evaluation with faculty and students from the Columbia University Graduate School of Architecture, Planning and Preservation provide directions and insight for further investigation.","Sean White,Steven Feiner",https://doi.org/10.1145/1518701.1518871
2009,"Using tabletops for education, science, and media",WeSpace: the design development and deployment of a walk-up and share multi-surface visual collaboration system,"We present WeSpace -- a collaborative work space that integrates a large data wall with a multi-user multi-touch table. WeSpace has been developed for a population of scientists who frequently meet in small groups for data exploration and visualization. It provides a low overhead walk-up and share environment for users with their own personal applications and laptops. We present our year-long effort from initial ethnographic studies, to iterations of design, development and user testing, to the current experiences of these scientists carrying out their collaborative research in the WeSpace. We shed light on the utility, the value of the multi-touch table, the manifestation, usage patterns and the changes in their workflow that WeSpace has brought about.","Daniel Wigdor,Hao Jiang,Clifton Forlines,Michelle Borkin,Chia Shen",https://doi.org/10.1145/1518701.1518886
2009,Visualization 2,Session details: Visualization 2,"Machine learning is an increasingly used computational tool within human-computer interaction research. While most researchers currently utilize an iterative approach to refining classifier models and performance, we propose that ensemble classification techniques may be a viable and even preferable alternative. In ensemble learning, algorithms combine multiple classifiers to build one that is superior to its components. In this paper, we present EnsembleMatrix, an interactive visualization system that presents a graphical view of confusion matrices to help users understand relative merits of various classifiers. EnsembleMatrix allows users to directly interact with the visualizations in order to explore and build combination models. We evaluate the efficacy of the system and the approach in a user study. Results show that users are able to quickly combine multiple classifiers operating on multiple feature sets to produce an ensemble classifier with accuracy that approaches best-reported performance classifying images in the CalTech-101 dataset.","Pourang Irani,Justin Talbot,Bongshin Lee,Ashish Kapoor,Desney S. Tan",https://doi.org/10.1145/1518701.1518895
2009,Visualization 2,FacetLens: exposing trends and relationships to support sensemaking within faceted datasets,"Previous research has shown that faceted browsing is effective and enjoyable in searching and browsing large collections of data. In this work, we explore the efficacy of interactive visualization systems in supporting exploration and sensemaking within faceted datasets. To do this, we developed an interactive visualization system called FacetLens, which exposes trends and relationships within faceted datasets. FacetLens implements linear facets to enable users not only to identify trends but also to easily compare several trends simultaneously. Furthermore, it offers pivot operations to allow users to navigate the faceted dataset using relationships between items. We evaluate the utility of the system through a description of insights gained while experts used the system to explore the CHI publication repository as well as a database of funding grant data, and report a formative user study that identified usability issues.","Bongshin Lee,Greg Smith,George G. Robertson,Mary Czerwinski,Desney S. Tan",https://doi.org/10.1145/1518701.1518896
2009,Visualization 2,Sizing the horizon: the effects of chart size and layering on the graphical perception of time series visualizations,"We investigate techniques for visualizing time series data and evaluate their effect in value comparison tasks. We compare line charts with horizon graphs - a space-efficient time series visualization technique - across a range of chart sizes, measuring the speed and accuracy of subjects' estimates of value differences between charts. We identify transition points at which reducing the chart height results in significantly differing drops in estimation accuracy across the compared chart types, and we find optimal positions in the speed-accuracy tradeoff curve at which viewers performed quickly without attendant drops in accuracy. Based on these results, we propose approaches for increasing data density that optimize graphical perception.","Jeffrey Heer,Nicholas Kong,Maneesh Agrawala",https://doi.org/10.1145/1518701.1518897
