year,session,title,abstract,author,doi
2009,No Sessions,ABySS-Explorer: Visualizing Genome Sequence Assemblies,One bottleneck in large-scale genome sequencing projects is reconstructing the full genome sequence from the short subsequences produced by current technologies. The final stages of the genome assembly process inevitably require manual inspection of data inconsistencies and could be greatly aided by visualization. This paper presents our design decisions in translating key data features identified...,"Cydney B. Nielsen,Shaun D. Jackman,Inanç Birol,Steven J.M. Jones,",https://ieeexplore.ieee.org/document/5290690/
2009,No Sessions,A Nested Model for Visualization Design and Validation,"We present a nested model for the visualization design and validation with four layers: characterize the task and data in the vocabulary of the problem domain, abstract into operations and data types, design visual encoding and interaction techniques, and create algorithms to execute techniques efficiently. The output from a level above is input to the level below, bringing attention to the design...","Tamara Munzner,",https://ieeexplore.ieee.org/document/5290695/
2009,No Sessions,Interaction Techniques for Selecting and Manipulating Subgraphs in Network Visualizations,"We present a novel and extensible set of interaction techniques for manipulating visualizations of networks by selecting subgraphs and then applying various commands to modify their layout or graphical properties. Our techniques integrate traditional rectangle and lasso selection, and also support selecting a node's neighbourhood by dragging out its radius (in edges) using a novel kind of radial m...","Michael J. McGuffin,Igor Jurisica,",https://ieeexplore.ieee.org/document/5290697/
2009,No Sessions,"“Search, Show Context, Expand on Demand”: Supporting Large Graph Exploration with Degree-of-Interest","A common goal in graph visualization research is the design of novel techniques for displaying an overview of an entire graph. However, there are many situations where such an overview is not relevant or practical for users, as analyzing the global structure may not be related to the main task of the users that have semi-specific information needs. Furthermore, users accessing large graph database...","Frank van Ham,Adam Perer,",https://ieeexplore.ieee.org/document/5290699/
2009,No Sessions,Visualizing Social Photos on a Hasse Diagram for Eliciting Relations and Indexing New Photos,"Social photos, which are taken during family events or parties, represent individuals or groups of people. We show in this paper how a Hasse diagram is an efficient visualization strategy for eliciting different groups and navigating through them. However, we do not limit this strategy to these traditional uses. Instead we show how it can also be used for assisting in indexing new photos. Indexing...","Michel Crampes,Jeremy de Oliveira-Kumar,Sylvie Ranwez,Jean Villerd,",https://ieeexplore.ieee.org/document/5290703/
2009,No Sessions,Interactive Dimensionality Reduction Through User-defined Combinations of Quality Metrics,"Multivariate data sets including hundreds of variables are increasingly common in many application areas. Most multivariate visualization techniques are unable to display such data effectively, and a common approach is to employ dimensionality reduction prior to visualization. Most existing dimensionality reduction systems focus on preserving one or a few significant structures in data. For many a...","Sara Johansson,Jimmy Johansson,",https://ieeexplore.ieee.org/document/5290704/
2009,No Sessions,Scattering Points in Parallel Coordinates,"In this paper, we present a novel parallel coordinates design integrated with points (scattering points in parallel coordinates, SPPC), by taking advantage of both parallel coordinates and scatterplots. Different from most multiple views visualization frameworks involving parallel coordinates where each visualization type occupies an individual window, we convert two selected neighboring coordinat...","Xiaoru Yuan,Peihong Guo,He Xiao,Hong Zhou,Huamin Qu,",https://ieeexplore.ieee.org/document/5290705/
2009,No Sessions,Bubble Sets: Revealing Set Relations with Isocontours over Existing Visualizations,"While many data sets contain multiple relationships, depicting more than one data relationship within a single visualization is challenging. We introduce Bubble Sets as a visualization technique for data that has both a primary data relation with a semantically significant spatial organization and a significant set membership relation in which members of the same set are not necessarily adjacent i...","Christopher Collins,Gerald Penn,Sheelagh Carpendale,",https://ieeexplore.ieee.org/document/5290706/
2009,No Sessions,FromDaDy: Spreading Aircraft Trajectories Across Views to Support Iterative Queries,"When displaying thousands of aircraft trajectories on a screen, the visualization is spoiled by a tangle of trails. The visual analysis is therefore difficult, especially if a specific class of trajectories in an erroneous dataset has to be studied. We designed FromDaDy, a trajectory visualization tool that tackles the difficulties of exploring the visualization of multiple trails. This multidimen...","Christophe Hurter,Benjamin Tissoires,Stéphane Conversy,",https://ieeexplore.ieee.org/document/5290707/
2009,No Sessions,SellTrend: Inter-Attribute Visual Analysis of Temporal Transaction Data,"We present a case study of our experience designing SellTrend, a visualization system for analyzing airline travel purchase requests. The relevant transaction data can be characterized as multi-variate temporal and categorical event sequences, and the chief problem addressed is how to help company analysts identify complex combinations of transaction attributes that contribute to failed purchase r...","Zhicheng Liu,John Stasko,Timothy Sullivan,",https://ieeexplore.ieee.org/document/5290708/
