year,session,title,abstract,author,doi
2009,N/A,Editor's Note.,N/A,Thomas Ertl,https://doi.org/10.1109/TVCG.2009.6
2009,N/A,Guest Editor's Introduction: Special Section on VRST.,N/A,Werner Purgathofer,https://doi.org/10.1109/TVCG.2009.7
2009,N/A,Real-Time Tracking of Visually Attended Objects in Virtual Environments and Its Application to LOD.,N/A,"Sungkil Lee,Gerard Jounghyun Kim,Seungmoon Choi",https://doi.org/10.1109/TVCG.2008.82
2009,N/A,Depth-Fused 3D Imagery on an Immaterial Display.,N/A,"Cha Lee,Stephen DiVerdi,Tobias Höllerer",https://doi.org/10.1109/TVCG.2008.83
2009,N/A,Interactive Navigation of Heterogeneous Agents Using Adaptive Roadmaps.,N/A,"Russell Gayle,Avneesh Sud,Erik Andersen,Stephen J. Guy,Ming C. Lin,Dinesh Manocha",https://doi.org/10.1109/TVCG.2008.84
2009,N/A,Hierarchical Photon Mapping.,N/A,"Ben Spencer,Mark W. Jones",https://doi.org/10.1109/TVCG.2008.67
2009,N/A,Flow-Based Image Abstraction.,N/A,"Henry Kang,Seungyong Lee,Charles K. Chui",https://doi.org/10.1109/TVCG.2008.81
2009,N/A,Illustration-Inspired Depth Enhanced Volumetric Medical Visualization.,N/A,"Nikolai A. Svakhine,David S. Ebert,William M. Andrews",https://doi.org/10.1109/TVCG.2008.56
2009,N/A,An Overview of 3D Software Visualization.,N/A,"Alfredo Raúl Teyseyre,Marcelo R. Campo",https://doi.org/10.1109/TVCG.2008.86
2009,N/A,Asymmetric Tensor Analysis for Flow Visualization.,N/A,"Eugene Zhang,Harry Yeh,Zhongzang Lin,Robert S. Laramee",https://doi.org/10.1109/TVCG.2008.68
2009,N/A,Multiscale Time Activity Data Exploration via Temporal Clustering Visualization Spreadsheet.,N/A,"Jonathan Woodring,Han-Wei Shen",https://doi.org/10.1109/TVCG.2008.69
2009,N/A,"Calibration, Registration, and Synchronization for High Precision Augmented Reality Haptics.",N/A,"Matthias Harders,Gérald Bianchi,Benjamin Knoerlein,Gábor Székely",https://doi.org/10.1109/TVCG.2008.63
2009,N/A,Edge Transformations for Improving Mesh Quality of Marching Cubes.,N/A,"Carlos A. Dietrich,Carlos Eduardo Scheidegger,John M. Schreiner,João Luiz Dihl Comba,Luciana Porcher Nedel,Cláudio T. Silva",https://doi.org/10.1109/TVCG.2008.60
2009,N/A,Random Accessible Mesh Compression Using Mesh Chartification.,N/A,"Sungyul Choe,Junho Kim,Haeyoung Lee,Seungyong Lee",https://doi.org/10.1109/TVCG.2008.64
2009,N/A,Guest Editors' Introduction: Special Section on The International Symposium on Mixed and Augmented Reality (ISMAR).,N/A,"Mark A. Livingston,Reinhold Behringer,Hirokazu Kato,Tom Drummond",https://doi.org/10.1109/TVCG.2009.18
2009,N/A,An Evaluation of Graphical Context as a Means for Ameliorating the Effects of Registration Error.,N/A,"Cindy M. Robertson,Blair MacIntyre,Bruce N. Walker",https://doi.org/10.1109/TVCG.2008.100
2009,N/A,Comprehensible Visualization for Augmented Reality.,N/A,"Denis Kalkofen,Erick Méndez,Dieter Schmalstieg",https://doi.org/10.1109/TVCG.2008.96
2009,N/A,Survey of the Visual Exploration and Analysis of Perfusion Data.,N/A,"Bernhard Preim,Steffen Oeltze,Matej Mlejnek,M. Eduard Gröller,Anja Hennemuth,Sarah Behrens",https://doi.org/10.1109/TVCG.2008.95
2009,N/A,Visualization and Computer Graphics on Isotropically Emissive Volumetric Displays.,N/A,"Benjamin Mora,Ross Maciejewski,Min Chen,David S. Ebert",https://doi.org/10.1109/TVCG.2008.99
2009,N/A,GeoBuilder: A Geometric Algorithm Visualization and Debugging System for 2D and 3D Geometric Computing.,N/A,"Jyh-Da Wei,Ming-Hung Tsai,Gen-Cher Lee,Jeng-Hung Huang,Der-Tsai Lee",https://doi.org/10.1109/TVCG.2008.93
2009,N/A,Glimmer: Multilevel MDS on the GPU.,N/A,"Stephen Ingram,Tamara Munzner,Marc Olano",https://doi.org/10.1109/TVCG.2008.85
2009,N/A,Compressed Facade Displacement Maps.,N/A,"Saif Ali,Jieping Ye,Anshuman Razdan,Peter Wonka",https://doi.org/10.1109/TVCG.2008.98
2009,N/A,A High Capacity 3D Steganography Algorithm.,N/A,"Min-Wen Chao,Chao-Hung Lin,Cheng-Wei Yu,Tong-Yee Lee",https://doi.org/10.1109/TVCG.2008.94
2009,N/A,A New Watermarking Method for 3D Models Based on Integral Invariants.,N/A,"Yu-Ping Wang,Shi-Min Hu",https://doi.org/10.1109/TVCG.2008.101
2009,N/A,RGB Subdivision.,N/A,"Enrico Puppo,Daniele Panozzo",https://doi.org/10.1109/TVCG.2008.87
