year,session,title,abstract,author,doi
2009,No Sessions,[Front cover],No Abstract,,https://ieeexplore.ieee.orgNo doi
2009,No Sessions,[Inside front cover],No Abstract,,https://ieeexplore.ieee.orgNo doi
2009,No Sessions,TVCG Vis/InfoVis 2009 Front Matter,No Abstract,,https://ieeexplore.ieee.org/document/5290689/
2009,No Sessions,ABySS-Explorer: Visualizing Genome Sequence Assemblies,One bottleneck in large-scale genome sequencing projects is reconstructing the full genome sequence from the short subsequences produced by current technologies. The final stages of the genome assembly process inevitably require manual inspection of data inconsistencies and could be greatly aided by visualization. This paper presents our design decisions in translating key data features identified...,"Cydney B. Nielsen,Shaun D. Jackman,Inanç Birol,Steven J.M. Jones,",https://ieeexplore.ieee.org/document/5290690/
2009,No Sessions,Constructing Overview + Detail Dendrogram-Matrix Views,"A dendrogram that visualizes a clustering hierarchy is often integrated with a re-orderable matrix for pattern identification. The method is widely used in many research fields including biology, geography, statistics, and data mining. However, most dendrograms do not scale up well, particularly with respect to problems of graphical and cognitive information overload. This research proposes a stra...","Jin Chen,Alan M. MacEachren,Donna J. Peuquet,",https://ieeexplore.ieee.org/document/5290691/
2009,No Sessions,MizBee: A Multiscale Synteny Browser,"In the field of comparative genomics, scientists seek to answer questions about evolution and genomic function by comparing the genomes of species to find regions of shared sequences. Conserve dsyntenic blocks are an important biological data abstraction for indicating regions of shared sequences. The goal of this work is to show multiple types of relationships at multiple scales in a way that is ...","Miriah Meyer,Tamara Munzner,Hanspeter Pfister,",https://ieeexplore.ieee.org/document/5290692/
2009,No Sessions,GeneShelf: A Web-based Visual Interface for Large Gene Expression Time-Series Data Repositories,"A widespread use of high-throughput gene expression analysis techniques enabled the biomedical research community to share a huge body of gene expression datasets in many public databases on the web. However, current gene expression data repositories provide static representations of the data and support limited interactions. This hinders biologists from effectively exploring shared gene expressio...","Bohyoung Kim,Bongshin Lee,Susan Knoblach,Eric Hoffman,Jinwook Seo,",https://ieeexplore.ieee.org/document/5290693/
2009,No Sessions,Spatiotemporal Analysis of Sensor Logs using Growth Ring Maps,"Spatiotemporal analysis of sensor logs is a challenging research field due to three facts: a) traditional two-dimensional maps do not support multiple events to occur at the same spatial location, b) three-dimensional solutions introduce ambiguity and are hard to navigate, and c) map distortions to solve the overlap problem are unfamiliar to most users. This paper introduces a novel approach to re...","Peter Bak,Florian Mansmann,Halldor Janetzko,Daniel Keim,",https://ieeexplore.ieee.org/document/5290694/
2009,No Sessions,A Nested Model for Visualization Design and Validation,"We present a nested model for the visualization design and validation with four layers: characterize the task and data in the vocabulary of the problem domain, abstract into operations and data types, design visual encoding and interaction techniques, and create algorithms to execute techniques efficiently. The output from a level above is input to the level below, bringing attention to the design...","Tamara Munzner,",https://ieeexplore.ieee.org/document/5290695/
2009,No Sessions,Conjunctive Visual Forms,Visual exploration of multidimensional data is a process of isolating and extracting relationships within and between dimensions. Coordinated multiple view approaches are particularly effective for visual exploration because they support precise expression of heterogeneous multidimensional queries using simple interactions. Recent visual analytics research has made significant progress in identify...,"Chris Weaver,",https://ieeexplore.ieee.org/document/5290696/
